# x 	 y 	 x_err 	 y_err
   0.00000  -75.00000    0.62352    1.72618
   0.00000  -60.00000    0.62352    1.49909
   0.00000  -45.00000    0.49225    1.27199
   0.00000  -30.00000    0.75479    1.04490
   0.00000  -15.00000    0.88606    0.68654
   0.00000    0.00000    1.14859    0.59071
   0.00000   15.00000    1.01733    0.36362
   0.00000   30.00000    1.14859    0.13653
   0.00000   45.00000    1.14859   -0.09057
   0.00000   60.00000    1.27986   -0.31766
   0.00000   75.00000    1.41113   -0.54476
  15.00000  -75.00000    0.13389    1.72618
  15.00000  -60.00000    0.26516    1.36782
  15.00000  -45.00000    0.39643    1.27199
  15.00000  -30.00000    0.13389    1.04490
  15.00000  -15.00000    0.52770    0.68654
  15.00000    0.00000    0.52770    0.45944
  15.00000   15.00000    0.52770    0.36362
  15.00000   30.00000    0.79023    0.13653
  15.00000   45.00000    0.92150   -0.09057
  15.00000   60.00000    0.92150   -0.44893
  15.00000   75.00000    1.05277   -0.67602
  30.00000  -75.00000   -0.09320    1.59491
  30.00000  -60.00000   -0.22447    1.49909
  30.00000  -45.00000   -0.22447    1.14073
  30.00000  -30.00000   -0.09320    0.91363
  30.00000  -15.00000    0.30060    0.81781
  30.00000    0.00000    0.03807    0.45944
  30.00000   15.00000    0.16933    0.23235
  30.00000   30.00000    0.69441    0.00526
  30.00000   45.00000    0.56314   -0.09057
  30.00000   60.00000    0.69441   -0.31766
  30.00000   75.00000    0.82567   -0.67602
  45.00000  -75.00000   -0.32030    1.59491
  45.00000  -60.00000   -0.32030    1.36782
  45.00000  -45.00000    0.07351    1.00946
  45.00000  -30.00000   -0.05776    0.91363
  45.00000  -15.00000   -0.32030    0.68654
  45.00000    0.00000   -0.18903    0.45944
  45.00000   15.00000    0.07351    0.23235
  45.00000   30.00000    0.46731    0.39906
  45.00000   45.00000    0.07351   -0.22184
  45.00000   60.00000    0.33604   -0.44893
  45.00000   75.00000    0.33604   -0.67602
  60.00000  -75.00000   -0.67866    1.59491
  60.00000  -60.00000   -0.80993    1.36782
  60.00000  -45.00000   -0.41612    1.00946
  60.00000  -30.00000   -0.41612    0.91363
  60.00000  -15.00000   -0.28485    0.55527
  60.00000    0.00000   -0.28485    0.45944
  60.00000   15.00000   -0.15359    0.23235
  60.00000   30.00000   -0.28485    0.00526
  60.00000   45.00000   -0.02232   -0.22184
  60.00000   60.00000    0.10895   -0.44893
  60.00000   75.00000    0.24022   -0.54476
  75.00000  -75.00000   -1.03702    1.46365
  75.00000  -60.00000   -0.90575    1.49909
  75.00000  -45.00000   -0.64322    1.00946
  75.00000  -30.00000   -0.64322    0.78236
  75.00000  -15.00000   -0.51195    0.68654
  75.00000    0.00000   -0.51195    0.45944
  75.00000   15.00000   -0.38068    0.23235
  75.00000   30.00000   -0.38068    0.13653
  75.00000   45.00000   -0.11814   -0.09057
  75.00000   60.00000   -0.11814   -0.58020
  75.00000   75.00000   -0.11814   -0.93856
  90.00000  -75.00000   -1.39538    1.46365
  90.00000  -60.00000   -1.00158    1.10528
  90.00000  -45.00000   -1.00158    1.00946
  90.00000  -30.00000   -0.87031    1.04490
  90.00000  -15.00000   -0.87031    0.55527
  90.00000    0.00000   -0.73904    0.32818
  90.00000   15.00000   -0.73904    0.23235
  90.00000   30.00000   -0.73904    0.00526
  90.00000   45.00000   -0.60777   -0.35310
  90.00000   60.00000   -0.47651   -0.44893
  90.00000   75.00000   -0.47651   -0.67602
 105.00000  -75.00000   -1.49121    1.46365
 105.00000  -60.00000   -1.35994    1.23655
 105.00000  -45.00000   -1.35994    0.87819
