# x 	 y 	 x_err 	 y_err
 180.00000   60.00000    0.26122    0.86375
 180.00000   75.00000   -0.00132    0.89919
 195.00000  -75.00000   -0.35968   -0.63664
 195.00000  -60.00000   -0.09714   -0.46993
 195.00000  -45.00000   -0.49094   -0.17195
 195.00000  -30.00000    0.03413   -0.13651
 195.00000  -15.00000   -0.22841   -0.10107
 195.00000    0.00000   -0.09714    0.19691
 195.00000   15.00000   -0.09714    0.36362
 195.00000   30.00000    0.03413    0.53033
 195.00000   45.00000    0.16540    0.69704
 195.00000   60.00000    0.16540    0.73248
 195.00000   75.00000    0.16540    1.03046
 210.00000  -75.00000   -0.32423   -0.50538
 210.00000  -60.00000   -0.45550   -0.46993
 210.00000  -45.00000   -0.19297   -0.30322
 210.00000  -30.00000   -0.45550   -0.26778
 210.00000  -15.00000   -0.19297    0.03020
 210.00000    0.00000   -0.19297    0.19691
 210.00000   15.00000   -0.06170    0.36362
 210.00000   30.00000   -0.06170    0.53033
 210.00000   45.00000    0.06957    0.69704
 210.00000   60.00000    0.06957    0.86375
 210.00000   75.00000    0.06957    0.89919
 225.00000  -75.00000   -0.55133   -0.50538
 225.00000  -60.00000   -0.28879   -0.60120
 225.00000  -45.00000   -0.28879   -0.30322
 225.00000  -30.00000   -0.28879   -0.13651
 225.00000  -15.00000   -0.15752   -0.10107
 225.00000    0.00000   -0.15752    0.19691
 225.00000   15.00000   -0.15752    0.23235
 225.00000   30.00000   -0.02626    0.53033
 225.00000   45.00000   -0.02626    0.56577
 225.00000   60.00000    0.10501    0.73248
 225.00000   75.00000    0.10501    0.89919
 240.00000  -75.00000   -0.51589   -0.50538
 240.00000  -60.00000   -0.38462   -0.46993
 240.00000  -45.00000   -0.25335   -0.43449
 240.00000  -30.00000   -0.25335   -0.13651
 240.00000  -15.00000   -0.25335   -0.10107
 240.00000    0.00000   -0.12208    0.19691
 240.00000   15.00000   -0.38462    0.23235
 240.00000   30.00000   -0.12208    0.53033
 240.00000   45.00000    0.00919    0.56577
 240.00000   60.00000    0.00919    0.86375
 240.00000   75.00000    0.14045    0.89919
 255.00000  -75.00000   -0.34918   -0.50538
 255.00000  -60.00000   -0.34918   -0.33867
 255.00000  -45.00000   -0.21791   -0.30322
 255.00000  -30.00000   -0.21791   -0.13651
 255.00000  -15.00000   -0.21791    0.03020
 255.00000    0.00000   -0.08664    0.19691
 255.00000   15.00000   -0.08664    0.36362
 255.00000   30.00000   -0.08664    0.53033
 255.00000   45.00000    0.04463    0.56577
 255.00000   60.00000    0.04463    0.86375
 255.00000   75.00000    0.04463    0.89919
 270.00000  -75.00000   -0.44500   -0.50538
 270.00000  -60.00000   -0.57627   -0.46993
 270.00000  -45.00000   -0.31373   -0.30322
 270.00000  -30.00000   -0.18246   -0.26778
 270.00000  -15.00000   -0.18246    0.03020
 270.00000    0.00000   -0.18246    0.19691
 270.00000   15.00000   -0.05120    0.36362
 270.00000   30.00000   -0.05120    0.53033
 270.00000   45.00000   -0.05120    0.69704
 270.00000   60.00000   -0.31373    0.73248
 270.00000   75.00000    0.08007    0.89919
 285.00000  -75.00000   -0.54083   -0.50538
 285.00000  -60.00000   -0.40956   -0.46993
 285.00000  -45.00000   -0.40956   -0.30322
 285.00000  -30.00000   -0.27829   -0.13651
 285.00000  -15.00000   -0.27829    0.03020
 285.00000    0.00000   -0.27829    0.06564
 285.00000   15.00000   -0.14702    0.36362
 285.00000   30.00000   -0.01575    0.53033
 285.00000   45.00000   -0.01575    0.56577
 285.00000   60.00000   -0.27829    0.73248
