# x 	 y 	 x_err 	 y_err
   0.00000  -75.00000   -0.95170    0.67604
   0.00000  -60.00000   -0.82043    0.71148
   0.00000  -45.00000   -0.68916    0.61565
   0.00000  -30.00000   -0.42662    0.78236
   0.00000  -15.00000   -0.55789    0.94907
   0.00000    0.00000   -0.42662    0.98452
   0.00000   15.00000   -0.29536    1.15123
   0.00000   30.00000   -0.29536    1.18667
   0.00000   45.00000   -0.16409    1.22211
   0.00000   60.00000   -0.03282    1.25755
   0.00000   75.00000   -0.03282    1.42426
  15.00000  -75.00000   -0.91625    0.54477
  15.00000  -60.00000   -0.78499    0.58021
  15.00000  -45.00000   -0.78499    0.61565
  15.00000  -30.00000   -0.65372    0.78236
  15.00000  -15.00000   -0.52245    0.81781
  15.00000    0.00000   -0.52245    0.85325
  15.00000   15.00000   -0.39118    1.01996
  15.00000   30.00000   -0.25991    1.18667
  15.00000   45.00000   -0.12865    1.22211
  15.00000   60.00000   -0.12865    1.25755
  15.00000   75.00000    0.13389    1.42426
  30.00000  -75.00000   -0.74954    0.41350
  30.00000  -60.00000   -0.74954    0.71148
  30.00000  -45.00000   -0.61827    0.74692
  30.00000  -30.00000   -0.61827    0.78236
  30.00000  -15.00000   -0.48701    0.81781
  30.00000    0.00000   -0.48701    0.85325
  30.00000   15.00000   -0.35574    1.01996
  30.00000   30.00000   -0.22447    1.05540
  30.00000   45.00000   -0.22447    1.09084
  30.00000   60.00000   -0.09320    1.25755
  30.00000   75.00000    0.03807    1.42426
  45.00000  -75.00000   -0.84537    0.54477
  45.00000  -60.00000   -0.71410    0.44894
  45.00000  -45.00000   -0.58283    0.61565
  45.00000  -30.00000   -0.58283    0.65110
  45.00000  -15.00000   -0.45156    0.81781
  45.00000    0.00000   -0.45156    0.85325
  45.00000   15.00000   -0.32030    1.01996
  45.00000   30.00000   -0.32030    1.05540
  45.00000   45.00000   -0.18903    1.09084
  45.00000   60.00000   -0.05776    1.25755
  45.00000   75.00000   -0.05776    1.29300
  60.00000  -75.00000   -0.67866    0.41350
  60.00000  -60.00000   -0.80993    0.44894
  60.00000  -45.00000   -0.54739    0.48439
  60.00000  -30.00000   -0.54739    0.65110
  60.00000  -15.00000   -0.54739    0.81781
  60.00000    0.00000   -0.41612    0.98452
  60.00000   15.00000   -0.28485    0.88869
  60.00000   30.00000   -0.28485    1.05540
  60.00000   45.00000   -0.02232    1.22211
  60.00000   60.00000   -0.15359    1.25755
  60.00000   75.00000   -0.02232    1.29300
  75.00000  -75.00000   -0.64322    0.41350
  75.00000  -60.00000   -0.64322    0.44894
  75.00000  -45.00000   -0.64322    0.61565
  75.00000  -30.00000   -0.64322    0.65110
  75.00000  -15.00000   -0.38068    0.55527
  75.00000    0.00000   -0.38068    0.85325
  75.00000   15.00000   -0.24941    0.88869
  75.00000   30.00000   -0.11814    1.05540
  75.00000   45.00000   -0.24941    1.09084
  75.00000   60.00000   -0.11814    1.12629
  75.00000   75.00000   -0.11814    1.29300
  90.00000  -75.00000   -0.60777    0.28223
  90.00000  -60.00000   -0.60777    0.18641
