# x 	 y 	 x_err 	 y_err
   0.00000  -75.00000    1.41113    3.56393
   0.00000  -60.00000    1.54240    2.94304
   0.00000  -45.00000    1.67367    2.32214
   0.00000  -30.00000    1.80493    1.83251
   0.00000  -15.00000    1.80493    1.34288
   0.00000    0.00000    1.93620    0.72198
   0.00000   15.00000    2.06747    0.23235
   0.00000   30.00000    2.06747   -0.38855
   0.00000   45.00000    2.19874   -0.87818
   0.00000   60.00000    2.33001   -1.36781
   0.00000   75.00000    2.46127   -1.98870
  15.00000  -75.00000    0.92150    3.56393
  15.00000  -60.00000    0.79023    2.94304
  15.00000  -45.00000    1.05277    2.45341
  15.00000  -30.00000    1.05277    1.83251
  15.00000  -15.00000    1.18404    1.21161
  15.00000    0.00000    1.31530    0.72198
  15.00000   15.00000    1.44657    0.23235
  15.00000   30.00000    1.44657   -0.38855
  15.00000   45.00000    1.57784   -0.87818
  15.00000   60.00000    1.70911   -1.36781
  15.00000   75.00000    1.70911   -1.98870
  30.00000  -75.00000    0.30060    3.56393
  30.00000  -60.00000    0.30060    2.94304
  30.00000  -45.00000    0.43187    2.32214
  30.00000  -30.00000    0.43187    1.83251
  30.00000  -15.00000    0.56314    1.21161
  30.00000    0.00000    0.69441    0.72198
  30.00000   15.00000    0.82567    0.23235
  30.00000   30.00000    0.82567   -0.38855
  30.00000   45.00000    0.95694   -0.87818
  30.00000   60.00000    0.95694   -1.49907
  30.00000   75.00000    1.08821   -1.98870
  45.00000  -75.00000   -0.32030    3.43267
  45.00000  -60.00000   -0.32030    2.81177
  45.00000  -45.00000   -0.18903    2.32214
  45.00000  -30.00000   -0.18903    1.83251
  45.00000  -15.00000   -0.05776    1.21161
  45.00000    0.00000   -0.05776    0.72198
  45.00000   15.00000    0.07351    0.10108
  45.00000   30.00000    0.20478   -0.38855
  45.00000   45.00000    0.33604   -0.87818
  45.00000   60.00000    0.33604   -1.49907
  45.00000   75.00000    0.46731   -2.11997
  60.00000  -75.00000   -1.07246    3.43267
  60.00000  -60.00000   -0.94119    2.94304
  60.00000  -45.00000   -0.94119    2.32214
  60.00000  -30.00000   -0.41612    1.43870
  60.00000  -15.00000   -0.67866    1.21161
  60.00000    0.00000   -0.54739    0.72198
  60.00000   15.00000   -0.54739    0.10108
  60.00000   30.00000   -0.41612   -0.38855
  60.00000   45.00000   -0.28485   -1.00944
  60.00000   60.00000   -0.28485   -1.49907
  60.00000   75.00000   -0.15359   -2.11997
  75.00000  -75.00000   -1.56209    3.43267
  75.00000  -60.00000   -1.29956    2.94304
  75.00000  -45.00000   -1.56209    2.32214
  75.00000  -30.00000   -1.29956    1.70124
  75.00000  -15.00000   -1.29956    1.08034
  75.00000    0.00000   -1.29956    0.59071
  75.00000   15.00000   -1.16829    0.10108
  75.00000   30.00000   -1.03702   -0.38855
  75.00000   45.00000   -1.03702   -1.00944
  75.00000   60.00000   -0.90575   -1.49907
  75.00000   75.00000   -0.90575   -2.11997
  90.00000  -75.00000   -2.18299    3.30140
  90.00000  -60.00000   -2.05172    2.68050
  90.00000  -45.00000   -2.18299    2.19087
  90.00000  -30.00000   -2.05172    1.70124
  90.00000  -15.00000   -1.92045    1.08034
  90.00000    0.00000   -1.78919    0.59071
  90.00000   15.00000   -1.65792    0.10108
  90.00000   30.00000   -1.78919   -0.38855
  90.00000   45.00000   -1.65792   -1.00944
  90.00000   60.00000   -1.52665   -1.63034
  90.00000   75.00000   -1.52665   -2.11997
