# x 	 y 	 x_err 	 y_err
   0.00000  -75.00000   -1.08296    1.06984
   0.00000  -60.00000   -0.82043    1.23655
   0.00000  -45.00000   -0.82043    1.27199
   0.00000  -30.00000   -0.95170    1.17617
   0.00000  -15.00000   -0.68916    1.21161
   0.00000    0.00000   -0.55789    1.24705
   0.00000   15.00000   -0.55789    1.28250
   0.00000   30.00000   -0.42662    1.31794
   0.00000   45.00000   -0.16409    1.48465
   0.00000   60.00000   -0.16409    1.38882
   0.00000   75.00000   -0.03282    1.42426
  15.00000  -75.00000   -1.04752    1.06984
  15.00000  -60.00000   -1.31006    0.44894
  15.00000  -45.00000   -0.91625    1.14073
  15.00000  -30.00000   -0.78499    1.17617
  15.00000  -15.00000   -0.52245    1.21161
  15.00000    0.00000   -0.65372    1.24705
  15.00000   15.00000   -0.52245    1.28250
  15.00000   30.00000   -0.52245    1.44921
  15.00000   45.00000   -0.39118    1.35338
  15.00000   60.00000   -0.25991    1.38882
  15.00000   75.00000    0.00262    1.42426
  30.00000  -75.00000   -1.27462    0.54477
  30.00000  -60.00000   -1.01208    0.97402
  30.00000  -45.00000   -0.88081    1.14073
  30.00000  -30.00000   -1.01208    0.78236
  30.00000  -15.00000   -1.01208    0.81781
  30.00000    0.00000   -0.88081    0.85325
  30.00000   15.00000   -0.74954    1.01996
  30.00000   30.00000   -0.74954    1.05540
  30.00000   45.00000   -0.22447    1.48465
  30.00000   60.00000   -0.35574    1.38882
  30.00000   75.00000   -0.48701    1.42426
  45.00000  -75.00000   -0.97664    1.20111
  45.00000  -60.00000   -1.23917    0.31768
  45.00000  -45.00000   -0.84537    1.14073
  45.00000  -30.00000   -0.97664    0.78236
  45.00000  -15.00000   -0.71410    1.34288
  45.00000    0.00000   -0.97664    0.72198
  45.00000   15.00000   -0.45156    1.28250
  45.00000   30.00000   -0.58283    1.31794
  45.00000   45.00000   -0.84537    0.82831
  45.00000   60.00000   -0.32030    1.38882
  45.00000   75.00000   -0.18903    1.42426
  60.00000  -75.00000   -1.20373    0.67604
  60.00000  -60.00000   -0.94119    0.71148
  60.00000  -45.00000   -0.94119    1.00946
  60.00000  -30.00000   -1.07246    0.51983
  60.00000  -15.00000   -0.67866    0.81781
  60.00000    0.00000   -0.94119    0.72198
  60.00000   15.00000   -0.54739    1.15123
  60.00000   30.00000   -0.80993    0.79287
  60.00000   45.00000   -0.41612    1.09084
  60.00000   60.00000   -0.28485    1.38882
  60.00000   75.00000   -0.28485    1.42426
  75.00000  -75.00000   -0.90575    0.67604
  75.00000  -60.00000   -1.03702    0.71148
  75.00000  -45.00000   -1.03702    0.74692
  75.00000  -30.00000   -0.77448    1.17617
  75.00000  -15.00000   -0.90575    0.81781
  75.00000    0.00000   -1.03702    0.59071
  75.00000   15.00000   -0.64322    1.15123
  75.00000   30.00000   -0.51195    0.92413
  75.00000   45.00000   -0.64322    1.09084
  75.00000   60.00000   -0.38068    1.38882
  75.00000   75.00000   -0.64322    1.16173
  90.00000  -75.00000   -1.00158    0.93857
  90.00000  -60.00000   -0.87031    1.10528
  90.00000  -45.00000   -0.73904    0.74692
  90.00000  -30.00000   -1.00158    0.51983
  90.00000  -15.00000   -0.87031    0.68654
  90.00000    0.00000   -0.73904    0.85325
  90.00000   15.00000   -0.87031    0.88869
  90.00000   30.00000   -0.60777    0.92413
  90.00000   45.00000   -0.73904    0.95958
  90.00000   60.00000   -0.47651    1.25755
  90.00000   75.00000   -0.34524    1.42426
 105.00000  -75.00000   -0.96614    0.80731
 105.00000  -60.00000   -1.09740    0.58021
 105.00000  -45.00000   -1.09740    0.48439
 105.00000  -30.00000   -0.96614    0.65110
 105.00000  -15.00000   -0.96614    0.55527
 105.00000    0.00000   -0.96614    0.85325
 105.00000   15.00000   -0.70360    1.01996
 105.00000   30.00000   -0.83487    0.92413
 105.00000   45.00000   -0.44106    1.35338
