# x 	 y 	 x_err 	 y_err
   0.00000  -75.00000    2.59254    5.66422
   0.00000  -60.00000    2.59254    4.91206
   0.00000  -45.00000    2.72381    3.89735
   0.00000  -30.00000    2.85508    3.01392
   0.00000  -15.00000    2.72381    1.86795
   0.00000    0.00000    2.98635    1.11578
   0.00000   15.00000    3.11761   -0.03019
   0.00000   30.00000    3.24888   -0.91362
   0.00000   45.00000    3.11761   -1.79705
   0.00000   60.00000    3.51142   -2.81176
   0.00000   75.00000    3.38015   -3.56392
  15.00000  -75.00000    1.18404    4.61408
  15.00000  -60.00000    1.57784    4.51825
  15.00000  -45.00000    1.84038    3.37228
  15.00000  -30.00000    1.84038    2.62012
  15.00000  -15.00000    1.97164    1.73668
  15.00000    0.00000    2.23418    1.11578
  15.00000   15.00000    2.23418   -0.16145
  15.00000   30.00000    2.10291   -0.91362
  15.00000   45.00000    2.36545   -1.79705
  15.00000   60.00000    2.36545   -2.94302
  15.00000   75.00000    2.49672   -3.30138
  30.00000  -75.00000    0.56314    5.40169
  30.00000  -60.00000    0.69441    4.51825
  30.00000  -45.00000    1.08821    3.76609
  30.00000  -30.00000    0.82567    2.48885
  30.00000  -15.00000    0.95694    1.73668
  30.00000    0.00000    1.35075    1.24705
  30.00000   15.00000    1.08821   -0.03019
  30.00000   30.00000    1.21948   -1.17616
  30.00000   45.00000    1.08821   -1.66579
  30.00000   60.00000    1.35075   -2.81176
  30.00000   75.00000    1.61328   -3.82646
  45.00000  -75.00000   -0.18903    5.13915
  45.00000  -60.00000   -0.32030    4.38698
  45.00000  -45.00000   -0.45156    2.71594
  45.00000  -30.00000   -0.18903    2.62012
  45.00000  -15.00000   -0.05776    1.47415
  45.00000    0.00000   -0.05776    0.85325
  45.00000   15.00000   -0.05776    0.10108
  45.00000   30.00000    0.20478   -0.91362
  45.00000   45.00000    0.33604   -2.05959
  45.00000   60.00000    0.46731   -2.94302
  45.00000   75.00000    0.46731   -3.82646
  60.00000  -75.00000   -1.20373    5.13915
  60.00000  -60.00000   -1.46627    4.51825
  60.00000  -45.00000   -1.20373    3.50355
  60.00000  -30.00000   -1.20373    2.48885
  60.00000  -15.00000   -0.94119    1.47415
  60.00000    0.00000   -0.94119    0.59071
  60.00000   15.00000   -0.80993   -0.29272
  60.00000   30.00000   -1.33500   -1.43869
  60.00000   45.00000   -0.80993   -1.79705
  60.00000   60.00000   -0.54739   -2.94302
  60.00000   75.00000   -0.41612   -3.82646
  75.00000  -75.00000   -2.21843    5.13915
  75.00000  -60.00000   -2.61224    4.51825
  75.00000  -45.00000   -1.95590    3.24101
  75.00000  -30.00000   -2.08716    2.48885
