# x 	 y 	 x_err 	 y_err
 420.00000  -40.00000    0.66422   -0.24219
 260.00000  -40.00000    0.26975   -0.27499
 320.00000  -40.00000    0.47715   -0.14371
 440.00000  -40.00000    0.66224   -0.29141
 420.00000  -20.00000    0.74625   -0.26056
 320.00000  -20.00000    0.57560   -0.29337
 340.00000    0.00000    0.81977   -0.18048
 320.00000    0.00000    0.59202   -0.21332
 300.00000    0.00000    0.39707   -0.14767
 280.00000    0.00000    0.44828   -0.21330
 420.00000    0.00000    0.81193   -0.19690
 360.00000    0.00000    0.71934   -0.21332
 460.00000    0.00000    0.82438   -0.29535
 300.00000   20.00000    0.51194   -0.13322
 320.00000   20.00000    0.77250   -0.14963
 420.00000   20.00000    0.95957   -0.24808
 320.00000   40.00000    0.78892   -0.00394
 300.00000   40.00000    0.69245   -0.08598
 280.00000   40.00000    0.46470   -0.08598
 420.00000   40.00000    1.05802   -0.25006
 240.00000   60.00000    0.56705    0.02692
 320.00000   60.00000    0.83814   -0.03873
 300.00000   60.00000    0.72526   -0.05513
 280.00000   60.00000    0.56315   -0.10435
 420.00000   60.00000    1.17289   -0.21922
