# x 	 y 	 x_err 	 y_err
-130.00000    0.00000    0.28192    0.66335
-130.00000   10.00000    0.28192    0.58043
-130.00000   20.00000    0.28192    0.49751
-130.00000   30.00000    0.28192    0.54726
-130.00000   40.00000    0.14925    0.72968
-130.00000   50.00000    0.41459    0.38143
-130.00000   60.00000    0.28192    0.43118
-130.00000   70.00000    0.28192    0.48093
-130.00000   80.00000    0.28192    0.53068
-130.00000   90.00000    0.41459    0.44776
-130.00000  100.00000    0.41459    0.63018
-130.00000  110.00000    0.41459    0.67993
-130.00000  120.00000    0.54726    0.72968
-130.00000  130.00000    0.41459    0.91211
-130.00000  140.00000    0.41459    0.96186
-130.00000  150.00000    0.41459    1.01161
-130.00000  160.00000    0.41459    0.92869
-130.00000  170.00000    0.28192    1.11111
-120.00000  -30.00000    0.06633    0.91211
-120.00000  -20.00000    0.06633    0.69652
-120.00000  -10.00000    0.06633    0.74627
-120.00000    0.00000    0.19900    0.66335
-120.00000   10.00000    0.19900    0.58043
-120.00000   20.00000    0.19900    0.49751
-120.00000   30.00000    0.19900    0.54726
-120.00000   40.00000    0.19900    0.46434
-120.00000   50.00000    0.33167    0.51410
-120.00000   60.00000    0.33167    0.56385
-120.00000   70.00000    0.33167    0.34826
-120.00000   80.00000    0.33167    0.39801
-120.00000   90.00000    0.33167    0.58043
-120.00000  100.00000    0.33167    0.63018
-120.00000  110.00000    0.46434    0.67993
-120.00000  120.00000    0.46434    0.59701
-120.00000  130.00000    0.33167    0.64677
-120.00000  140.00000    0.46434    0.82919
-120.00000  150.00000    0.46434    0.87894
-120.00000  160.00000    0.46434    1.06136
-120.00000  170.00000    0.72968    1.11111
-110.00000  -30.00000    0.24876    0.91211
-110.00000  -20.00000   -0.01658    0.56385
-110.00000  -10.00000    0.11609    0.61360
-110.00000    0.00000    0.11609    0.53068
-110.00000   10.00000    0.11609    0.44776
-110.00000   20.00000    0.24876    0.49751
-110.00000   30.00000    0.24876    0.41459
-110.00000   40.00000    0.11609    0.33167
-110.00000   50.00000    0.24876    0.51410
-110.00000   60.00000    0.24876    0.56385
-110.00000   70.00000    0.24876    0.21559
-110.00000   80.00000    0.38143    0.53068
-110.00000   90.00000    0.38143    0.58043
-110.00000  100.00000    0.38143    0.63018
-110.00000  110.00000    0.24876    0.54726
-110.00000  120.00000    0.38143    0.46434
-110.00000  130.00000    0.51410    0.77944
-110.00000  140.00000    0.51410    0.69652
-110.00000  150.00000    0.51410    0.74627
-110.00000  160.00000    0.51410    0.92869
-110.00000  170.00000    0.51410    1.11111
-100.00000  -30.00000   -0.09950    0.91211
-100.00000  -20.00000    0.03317    0.69652
-100.00000  -10.00000    0.03317    0.74627
-100.00000    0.00000   -0.09950    0.66335
-100.00000   10.00000    0.03317    0.58043
-100.00000   20.00000    0.16584    0.63018
-100.00000   30.00000    0.03317    0.67993
-100.00000   40.00000    0.29851    0.59701
-100.00000   50.00000    0.03317    0.64677
-100.00000   60.00000    0.16584    0.56385
-100.00000   70.00000    0.29851    0.61360
-100.00000   80.00000    0.29851    0.66335
-100.00000   90.00000    0.29851    0.71310
-100.00000  100.00000    0.43118    0.76285
-100.00000  110.00000    0.43118    0.94527
-100.00000  120.00000    0.43118    0.72968
-100.00000  130.00000    0.43118    0.77944
-100.00000  140.00000    0.43118    0.96186
-100.00000  150.00000    0.43118    1.14428
-100.00000  160.00000    0.56385    1.19403
-100.00000  170.00000    0.56385    1.24378
 -90.00000  -30.00000   -0.18242    0.91211
 -90.00000  -20.00000    0.08292    0.69652
 -90.00000  -10.00000   -0.04975    0.74627
 -90.00000    0.00000    0.08292    0.66335
 -90.00000   10.00000    0.08292    0.71310
 -90.00000   20.00000    0.08292    0.63018
 -90.00000   30.00000    0.08292    0.54726
 -90.00000   40.00000    0.21559    0.46434
 -90.00000   50.00000    0.21559    0.64677
 -90.00000   60.00000    0.08292    0.56385
 -90.00000   70.00000    0.21559    0.61360
 -90.00000   80.00000    0.34826    0.53068
 -90.00000   90.00000    0.34826    0.71310
 -90.00000  100.00000    0.34826    0.76285
 -90.00000  110.00000    0.34826    1.07794
 -90.00000  120.00000    0.34826    0.99502
 -90.00000  130.00000    0.48093    0.77944
 -90.00000  140.00000    0.48093    0.96186
 -90.00000  150.00000    0.48093    1.14428
 -90.00000  160.00000    0.61360    1.19403
 -90.00000  170.00000    0.61360    1.11111
 -80.00000  -30.00000   -0.00000    0.51410
 -80.00000  -20.00000    0.13267    0.56385
 -80.00000  -10.00000   -0.13267    0.48093
 -80.00000    0.00000   -0.13267    0.53068
 -80.00000   10.00000    0.13267    0.44776
 -80.00000   20.00000    0.13267    0.36484
 -80.00000   30.00000    0.13267    0.41459
 -80.00000   40.00000    0.26534    0.46434
 -80.00000   50.00000    0.39801    0.38143
 -80.00000   60.00000    0.26534    0.43118
 -80.00000   70.00000    0.26534    0.34826
 -80.00000   80.00000    0.26534    0.39801
 -80.00000   90.00000    0.26534    0.58043
 -80.00000  100.00000    0.39801    0.63018
 -80.00000  110.00000    0.53068    0.67993
 -80.00000  120.00000    0.39801    0.72968
 -80.00000  130.00000    0.53068    0.64677
 -80.00000  140.00000    0.53068    0.69652
 -80.00000  150.00000    0.66335    1.01161
 -80.00000  160.00000    0.53068    0.92869
 -80.00000  170.00000    0.66335    1.11111
 -70.00000  -30.00000   -0.08292    0.64677
 -70.00000  -20.00000    0.04975    0.56385
 -70.00000  -10.00000    0.04975    0.34826
 -70.00000    0.00000    0.04975    0.39801
 -70.00000   10.00000    0.04975    0.31509
 -70.00000   20.00000    0.18242    0.36484
 -70.00000   30.00000    0.18242    0.41459
 -70.00000   40.00000    0.18242    0.46434
 -70.00000   50.00000    0.18242    0.51410
 -70.00000   60.00000    0.18242    0.29851
 -70.00000   70.00000    0.31509    0.48093
 -70.00000   80.00000    0.58043    0.39801
 -70.00000   90.00000    0.44776    0.58043
 -70.00000  100.00000    0.44776    0.63018
 -70.00000  110.00000    0.44776    0.54726
 -70.00000  120.00000    0.44776    0.72968
 -70.00000  130.00000    0.58043    0.64677
 -70.00000  140.00000    0.44776    0.69652
 -70.00000  150.00000    0.58043    1.01161
 -70.00000  160.00000    0.58043    0.92869
 -70.00000  170.00000    0.58043    1.11111
 -60.00000  -30.00000   -0.03317    0.51410
 -60.00000  -20.00000   -0.03317    0.43118
 -60.00000  -10.00000   -0.03317    0.34826
 -60.00000    0.00000    0.09950    0.39801
 -60.00000   10.00000    0.09950    0.44776
 -60.00000   20.00000   -0.03317    0.36484
 -60.00000   30.00000    0.09950    0.28192
 -60.00000   40.00000    0.09950    0.33167
 -60.00000   50.00000    0.09950    0.24876
 -60.00000   60.00000    0.23217    0.43118
 -60.00000   70.00000    0.36484    0.34826
 -60.00000   80.00000    0.36484    0.26534
 -60.00000   90.00000    0.36484    0.44776
 -60.00000  100.00000    0.63018    0.49751
 -60.00000  110.00000    0.49751    0.54726
 -60.00000  120.00000    0.36484    0.59701
 -60.00000  130.00000    0.63018    0.64677
 -60.00000  140.00000    0.49751    0.82919
 -60.00000  150.00000    0.49751    0.87894
 -60.00000  160.00000    0.76285    0.92869
 -60.00000  170.00000    0.89552    1.11111
 -50.00000  -30.00000   -0.24876    0.38143
 -50.00000  -20.00000   -0.11609    0.43118
 -50.00000  -10.00000    0.01658    0.34826
 -50.00000    0.00000    0.01658    0.26534
 -50.00000   10.00000    0.01658    0.31509
 -50.00000   20.00000    0.01658    0.36484
 -50.00000   30.00000    0.14925    0.28192
 -50.00000   40.00000    0.14925    0.33167
 -50.00000   50.00000    0.14925    0.24876
 -50.00000   60.00000    0.28192    0.29851
 -50.00000   70.00000    0.28192    0.21559
 -50.00000   80.00000    0.41459    0.26534
 -50.00000   90.00000    0.41459    0.44776
 -50.00000  100.00000    0.41459    0.49751
 -50.00000  110.00000    0.54726    0.41459
 -50.00000  120.00000    0.54726    0.59701
 -50.00000  130.00000    0.54726    0.64677
 -50.00000  140.00000    0.67993    0.56385
 -50.00000  150.00000    0.54726    0.74627
 -50.00000  160.00000    0.67993    0.92869
 -50.00000  170.00000    0.81260    0.97844
 -40.00000  -30.00000   -0.19900    0.51410
 -40.00000  -20.00000   -0.19900    0.43118
 -40.00000  -10.00000   -0.06633    0.34826
 -40.00000    0.00000   -0.19900    0.26534
 -40.00000   10.00000   -0.06633    0.31509
 -40.00000   20.00000    0.06633    0.23217
 -40.00000   30.00000    0.19900    0.14925
 -40.00000   40.00000    0.19900    0.33167
 -40.00000   50.00000    0.33167    0.38143
 -40.00000   60.00000    0.33167    0.29851
 -40.00000   70.00000    0.33167    0.34826
 -40.00000   80.00000    0.19900    0.39801
 -40.00000   90.00000    0.33167    0.31509
 -40.00000  100.00000    0.59701    0.49751
 -40.00000  110.00000    0.59701    0.41459
 -40.00000  120.00000    0.59701    0.46434
 -40.00000  130.00000    0.59701    0.64677
 -40.00000  140.00000    0.59701    0.56385
 -40.00000  150.00000    0.72968    0.74627
 -40.00000  160.00000    0.72968    0.79602
 -40.00000  170.00000    0.72968    0.84577
 -30.00000  -30.00000   -0.28192    0.24876
 -30.00000  -20.00000   -0.14925    0.43118
 -30.00000  -10.00000   -0.14925    0.34826
 -30.00000    0.00000   -0.14925    0.39801
 -30.00000   10.00000   -0.01658    0.18242
 -30.00000   20.00000   -0.01658    0.09950
 -30.00000   30.00000    0.11609    0.28192
 -30.00000   40.00000    0.11609    0.19900
 -30.00000   50.00000    0.24876    0.24876
 -30.00000   60.00000    0.38143    0.16584
 -30.00000   70.00000    0.24876    0.21559
 -30.00000   80.00000    0.38143    0.26534
 -30.00000   90.00000    0.38143    0.31509
 -30.00000  100.00000    0.38143    0.36484
 -30.00000  110.00000    0.51410    0.41459
 -30.00000  120.00000    0.64677    0.46434
 -30.00000  130.00000    0.64677    0.51410
 -30.00000  140.00000    0.77944    0.43118
 -30.00000  150.00000    0.77944    0.61360
 -30.00000  160.00000    0.77944    0.79602
 -30.00000  170.00000    0.91211    0.84577
 -20.00000  -30.00000   -0.23217    0.38143
 -20.00000  -20.00000   -0.23217    0.29851
 -20.00000  -10.00000   -0.09950    0.34826
 -20.00000    0.00000   -0.09950    0.13267
 -20.00000   10.00000   -0.09950    0.44776
 -20.00000   20.00000   -0.09950    0.09950
 -20.00000   30.00000    0.03317    0.01658
 -20.00000   40.00000    0.16584    0.19900
 -20.00000   50.00000    0.16584    0.11609
 -20.00000   60.00000    0.29851    0.16584
 -20.00000   70.00000    0.29851    0.21559
 -20.00000   80.00000    0.43118    0.26534
 -20.00000   90.00000    0.43118    0.31509
 -20.00000  100.00000    0.56385    0.36484
 -20.00000  110.00000    0.56385    0.41459
 -20.00000  120.00000    0.56385    0.33167
 -20.00000  130.00000    0.56385    0.38143
 -20.00000  140.00000    0.69652    0.43118
 -20.00000  150.00000    0.82919    0.61360
 -20.00000  160.00000    0.96186    0.79602
 -20.00000  170.00000    0.82919    0.84577
 -10.00000  -30.00000   -0.18242    0.11609
 -10.00000  -20.00000   -0.18242    0.03317
 -10.00000  -10.00000   -0.18242    0.08292
 -10.00000    0.00000   -0.04975    0.13267
 -10.00000   10.00000    0.08292    0.04975
 -10.00000   20.00000   -0.04975   -0.03317
 -10.00000   30.00000    0.08292    0.14925
 -10.00000   40.00000    0.21559    0.06633
 -10.00000   50.00000    0.21559    0.11609
 -10.00000   60.00000    0.34826    0.03317
 -10.00000   70.00000    0.34826    0.21559
 -10.00000   80.00000    0.48093    0.13267
 -10.00000   90.00000    0.61360    0.18242
 -10.00000  100.00000    0.48093    0.23217
 -10.00000  110.00000    0.61360    0.28192
 -10.00000  120.00000    0.74627    0.33167
 -10.00000  130.00000    0.74627    0.51410
 -10.00000  140.00000    0.87894    0.43118
 -10.00000  150.00000    0.74627    0.74627
 -10.00000  160.00000    0.87894    0.66335
 -10.00000  170.00000    0.74627    0.71310
   0.00000  -30.00000   -0.13267   -0.01658
   0.00000  -20.00000   -0.13267    0.03317
   0.00000  -10.00000    0.00000   -0.04975
   0.00000    0.00000    0.00000    0.00000
   0.00000   10.00000    0.00000   -0.08292
   0.00000   20.00000    0.13267   -0.03317
   0.00000   30.00000    0.13267    0.01658
   0.00000   40.00000    0.26534    0.06633
   0.00000   50.00000    0.26534   -0.01658
   0.00000   60.00000    0.26534    0.03317
   0.00000   70.00000    0.39801    0.08292
   0.00000   80.00000    0.53068    0.26534
   0.00000   90.00000    0.53068    0.18242
   0.00000  100.00000    0.53068    0.23217
   0.00000  110.00000    0.66335    0.28192
   0.00000  120.00000    0.66335    0.33167
   0.00000  130.00000    0.66335    0.38143
   0.00000  140.00000    0.79602    0.43118
   0.00000  150.00000    0.79602    0.61360
   0.00000  160.00000    0.79602    0.66335
   0.00000  170.00000    0.92869    0.71310
  10.00000  -30.00000   -0.21559   -0.01658
